Year,COUNTRY,REGION,CATEGORY,,,,
2017,Egypt,Africa,Explosion,,,,
2017,Sweden,Europe,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Iraq,Asia,Unknown,,,,
2017,Russia,Europe,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Bangladesh,,"Assault,Explosion",,,,
2017,Nigeria,Africa,Explosion,,,,
2017,United Kingdom,Europe,Assault,,,,
2017,United States,Americas,Assault,,,,
2017,Bangladesh,Asia,Explosion,,,,
2017,Syria,Asia,Explosion,,,,
2017,Syria,Asia,Explosion,,,,
2017,Afghanistan,Asia,Assault,,,,
2017,India,Asia,Explosion,,,,
2017,United States,Americas,Assault,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,Canada,Americas,Assault,,,,
2017,Somalia,Africa,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Mali,Africa,Explosion,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,Afghanistan,,Explosion,,,,
2017,Israel,Asia,Unknown,,,,
2017,Syria,,Explosion,,,,
2017,United States,Americas,Assault,,,,
2017,Turkey,Asia,Explosion,,,,
2017,Philippines,Asia,Assault,,,,
2017,Somalia,Africa,Explosion,,,,
2017,Iraq,Asia,Explosion,,,,
2017,Turkey,Asia,Assault,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Philippines,Asia,Explosion,,,,
2016,Malta,Europe,Explosion,,,,
2016,Turkey,Asia,Assault,,,,
2016,Germany,Europe,Unknown,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Jordan,Asia,Unknown,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Burkina Faso,Africa,Assault,,,,
2016,Somalia,Africa,Explosion,,,,
2016,Egypt,Africa,Explosion,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Nigeria,Africa,Explosion,,,,
2016,India,Asia,Assault,,,,
2016,India,Asia,Unknown,,,,
2016,United States,Americas,Assault,,,,
2016,Somalia,Africa,Explosion,,,,
2016,Philippines,Asia,Unknown,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Afghanistan,Asia,Explosion,,,,
2016,Indonesia,Asia,Explosion,,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Afghanistan,Asia,Explosion,,,,
2016,Afghanistan,Asia,Explosion,,,,
2016,Iraq,Asia,Unknown,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Pakistan,Asia,Hostage,,,,
2016,Germany,Europe,Unknown,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Israel,,Unknown,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Belgium,Europe,"Assault,Explosion",,,,
2016,India,Asia,Unknown,,,,
2016,United States,Americas,Explosion,,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Afghanistan,Asia,Unknown,,,,
2016,Syria,Asia,Explosion,,,,
2016,Philippines,Asia,Explosion,,,,
2016,Kyrgyzstan,Asia,Explosion,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Afghanistan,Asia,"Assault,Explosion",,,,
2016,Somalia,Africa,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Russia,Europe,Unknown,,,,
2016,Syria,Asia,Explosion,,,,
2016,Congo,,Unknown,,,,
2016,Thailand,Asia,Explosion,,,,
2016,Thailand,Asia,Explosion,,,,
2016,Thailand,Asia,Explosion,,,,
2016,Pakistan,Asia,Explosion,,,,
2016,Belgium,Europe,Unknown,,,,
2016,India,Asia,Explosion,,,,
2016,Afghanistan,Asia,"Assault,Explosion",,,,
2016,Armenia,Asia,"Assault,Hostage",,,,
2016,Syria,,Explosion,,,,
2016,France,,Unknown,,,,
2016,Germany,Europe,Explosion,,,,
2016,Afghanistan,Asia,Explosion,,,,
2016,Germany,Europe,Assault,,,,
2016,Mali,,Assault,,,,
2016,Kazakhstan,Asia,Unknown,,,,
2016,Germany,Europe,Assault,,,,
2016,France,Europe,Unknown,,,,
2016,Iraq,Asia,"Assault,Explosion",,,,
2016,Saudi Arabia,Asia,Explosion,,,,
2016,Iraq,Asia,Explosion,,,,
2016,Bangladesh,Asia,"Assault,Hostage",,,,
2016,Malaysia,Asia,Explosion,,,,
2016,Turkey,Asia,Unknown,,,,
2016,Yemen,Asia,Explosion,,,,
2016,Somalia,Africa,"Explosion,Hostage",,,,
2016,Afghanistan,,Explosion,,,,
2016,United Kingdom,Europe,Unknown,,,,
2016,France,,"Assault,Hostage",,,,
2016,United States,Americas,"Assault,Hostage",,,,
2016,Israel,Asia,Assault,,,,
2016,Afghanistan,Asia,Hostage,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Turkey,Asia,Explosion,,,,
2016,Kazakhstan,Asia,Unknown,,,,
2016,Somalia,Africa,"Assault,Explosion,Hostage",,,,
