DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
6/23/2017,Pakistan,,,Southern Asia,Asia,Jamaat-ul-Ahrar,200,78,At least 78 people were killed and more than 200 were injured as 2 bomb blasts took place in a Parachinar market. ,"30.3308401,71.247499",Explosion,2017
6/21/2017,Afghanistan,,,Southern Asia,Asia,Taliban,60,34,"In a bomb attack on a branch of the Kabul Bank in the southern Afghan province of Helmand, at least 34 people have been killed and some 60 others have been injured. ","33.7680065,66.2385139",Explosion,2017
6/21/2017,United States,Michigan,Flint,Northern America,Americas,,1,0,"A man, while shouting ""Allah Akbar"", stormed Bishop International Airport near Flint, Michigan. A police officer was seriously injured when he was stabbed in the neck by the terrorist. The airport was evacuated and a large cordon was established around the area. ","43.0161693,-83.6900211",Assault,2017
6/20/2017,Belgium,Brussels-Capital Region,Brussels,Western Europe,Europe,,0,0,"A terrorist ran into Brussels Central Station, where he detonated a small bomb which caused no injuries. Still carrying a suicide vest, he ran to another part of the station. There he was shot and killed by soldiers who were guarding the station. The attempted attack was considered to have failed. ","50.8465573,4.351697",Explosion,2017
6/19/2017,United Kingdom,England,London,Northern Europe,Europe,,10,1,A vehicle rammed into people walking out of a mosque in the Finsbury Park neighborhood of London. Local authorities have said that there are multiple casualties. This is the third vehicle ramming attack in London in the past 3 months and the second to happen in June. ,"51.5073219,-0.1276474",,2017
6/17/2017,Colombia,Capital District,Bogota,South America,Americas,MRP,9,3,"A bomb exploded in a women's bathroom at Bogota's upscale Andino mall, killing 3 civilians including a French national and injuring at least 9 others. No group has claimed responsibility but Colombian security forces had recently warned that paramilitary group Autodefensas Gaitanistas de Colombia (AGC), and the Movimiento Revolucionario del Pueblo could be the perpetrators. ","4.6533326,-74.083652",Explosion,2017
6/16/2017,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Islamic State,4,1,Border Police guard was killed and 4 others were lightly to moderately injured in a coordinated stabbing and shooting attack in 2 areas in Jerusalem's Old City. ,"31.7788242,35.2257626",Assault,2017
6/14/2017,United States,Alabama,Alexandria,Northern America,Americas,,6,0,"A gunman targeting republican lawmakers, opened fire at a baseball field in Alexandria, Virginia, leaving at least 5 wounded. A top US Republican, Steve Scalise, was critically injured. ","38.8051095,-77.0470229",Assault,2017
6/7/2017,Iran,Tehran Province,Tehran,Southern Asia,Asia,Islamic State,52,18,The Iranian parliament and the Mausoleum of Ruhollah Khomeini were attacked by 7 armed men with pistols and Kalashnikov rifles. ,"35.6892523,51.3896004",Assault,2017
6/6/2017,Afghanistan,Herat,,Southern Asia,Asia,Taliban,16,10,"At least 7 civilians were killed and 15 more wounded in a bomb blast outside the historic Jama Masjid of Herat, in the western and relatively calm province of Herat. ","34.3508273,62.2164003",Explosion,2017
6/6/2017,France,Île-de-France,Paris,Western Europe,Europe,,1,0,"A police officer who was outside Notre Dame Cathedral was injured after he was attacked by a man with a hammer, who was then shot by police. ","48.8588897,2.3200410217200766",,2017
6/5/2017,Australia,Queensland,Brighton,Australia and New Zealand,Oceania,Islamic State,3,1,"An Islamic State of Iraq and the Levant (ISIS) inspired terrorist, Yacqub Khayre, killed a man and took a woman hostage before he was shot dead by police following a siege. During the course of the siege 3 police officers were wounded. Khayre was acquitted in 2011 of involvement in the Holsworthy Barracks terror plot, but was jailed in 2012 over a home invasion and released in November 2016 on parole. ","-37.9081962,144.9957991",Hostage,2017
6/3/2017,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,118,20,"After recent terrorist incidents in Kabul, funerals were held for the victims. One funeral, for the son of a member of the Afghanistan Assembly, was targeted by several explosions. At least 20 people have been reportedly killed, and many others have been injured. ","34.5260109,69.1776838",Explosion,2017
6/3/2017,United Kingdom,England,London,Northern Europe,Europe,Islamic State,48,8,"A van ran over multiple pedestrians on the London Bridge. The men then drove to Borough Market, where they stabbed multiple people before being shot by police. 8 people were killed and 48 were injured. ","51.5073219,-0.1276474",Assault,2017
5/31/2017,Afghanistan,Kabul,,Southern Asia,Asia,Haqqani network,413,150,A car bombing in Kabul's diplomatic quarter killed at least 150 persons and wounded more than 400 others. ,"34.5260109,69.1776838",Explosion,2017
5/30/2017,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,40,30,At least 30 people were killed and 40 more injured when a car bomb detonated while they were outside an ice cream shop. ISIS claimed responsibility. ,"33.3024309,44.3787992",Explosion,2017
5/26/2017,Egypt,,,Northern Africa,Africa,Islamic State,25,28,28 people have been killed and 25 wounded after gunmen opened fire on a bus carrying Coptic Christians in central Egypt. ,"26.2540493,29.2675469",Assault,2017
5/24/2017,Indonesia,Jakarta,Jakarta,South-Eastern Asia,Asia,Jamaah Ansharut Tauhid,10,3,"Three police officers were killed and 10 others, 5 police officers and 5 civilians, injured when 2 suicide bombers blew themselves up at a bus stop in Jakarta. The police confirmed that the bombers were members of Jamaah Ansharut Tauhid, a group linked to Islamic State. ","-6.1753942,106.827183",Explosion,2017
5/22/2017,United Kingdom,Manchester,,Northern Europe,Europe,Salman Abedi,800,22,A suicide bomber named Salman Abedi blew himself up at an Ariana Grande concert in Manchester killing at least 22 concertgoers and injuring more than 800 others. ,"53.4794892,-2.2451148",Explosion,2017
5/20/2017,Libya,,,,,Misrata Militants,100,141,At least 141 soldiers and civilians were killed in an attack in Southern Libya. ,"26.8234472,18.1236723",,2017
